"location_name","year_id","sex","age_group","mean","lower","upper","measure"
"United Kingdom",2019,"Male","0 to 14",1.25990107652675,1.22841580198085,1.29402305852768,"Blood lead (ug/dL)"
"United Kingdom",2019,"Female","0 to 14",0.966471492673021,0.939824619321307,0.996590717107107,"Blood lead (ug/dL)"
"Argentina",2019,"Male","0 to 14",2.6780480197771,2.26004592327024,3.13210815699158,"Blood lead (ug/dL)"
"Argentina",2019,"Female","0 to 14",2.19229281619758,1.84429058169409,2.59568764112244,"Blood lead (ug/dL)"
"Chile",2019,"Male","0 to 14",1.82397870590052,1.5276974859741,2.13745346667555,"Blood lead (ug/dL)"
"Chile",2019,"Female","0 to 14",1.62577550784639,1.36463480322559,1.94951001642538,"Blood lead (ug/dL)"
"Uruguay",2019,"Male","0 to 14",3.89635398100939,3.26949446325208,4.55589830112106,"Blood lead (ug/dL)"
"Uruguay",2019,"Female","0 to 14",3.64508687551292,3.10338959078449,4.30675939536999,"Blood lead (ug/dL)"
"Canada",2019,"Male","0 to 14",1.31676726435885,1.11230829254257,1.54814909251754,"Blood lead (ug/dL)"
"Canada",2019,"Female","0 to 14",1.12766684213378,0.938682587990035,1.32526375184882,"Blood lead (ug/dL)"
"United States of America",2019,"Male","0 to 14",1.26167716234603,1.05167231539969,1.49103207739906,"Blood lead (ug/dL)"
"United States of America",2019,"Female","0 to 14",1.10303122170551,0.928653347275604,1.30058961260368,"Blood lead (ug/dL)"
"Antigua and Barbuda",2019,"Male","0 to 14",2.36605807259858,1.97233486645342,2.799461702394,"Blood lead (ug/dL)"
"Antigua and Barbuda",2019,"Female","0 to 14",2.18912055085498,1.83097963395944,2.58953061183969,"Blood lead (ug/dL)"
"Bahamas",2019,"Male","0 to 14",2.05691240205418,1.71541737235606,2.4514554606904,"Blood lead (ug/dL)"
"Bahamas",2019,"Female","0 to 14",2.00192453624363,1.66949620320111,2.36927394689387,"Blood lead (ug/dL)"
"Barbados",2019,"Male","0 to 14",2.19436144261287,1.85621901404697,2.61642547132849,"Blood lead (ug/dL)"
"Barbados",2019,"Female","0 to 14",1.95553393221451,1.60920575318521,2.31362511506363,"Blood lead (ug/dL)"
"Belize",2019,"Male","0 to 14",2.70869560015284,2.27225920496706,3.1757545623573,"Blood lead (ug/dL)"
"Belize",2019,"Female","0 to 14",2.68716932934323,2.24937375705848,3.17341249381198,"Blood lead (ug/dL)"
"Cuba",2019,"Male","0 to 14",5.37176706495589,4.50853810165136,6.40773691137306,"Blood lead (ug/dL)"
"Cuba",2019,"Female","0 to 14",4.46071738407801,3.73820576920287,5.37772866837343,"Blood lead (ug/dL)"
"Dominica",2019,"Male","0 to 14",2.33482871182753,1.96057513851354,2.81066469188168,"Blood lead (ug/dL)"
"Dominica",2019,"Female","0 to 14",2.65951994123179,2.22593521253214,3.17420488941417,"Blood lead (ug/dL)"
"Dominican Republic",2019,"Male","0 to 14",5.05889882357298,4.23746908928126,5.91101750839304,"Blood lead (ug/dL)"
"Dominican Republic",2019,"Female","0 to 14",4.50193868573976,3.78564335384061,5.42706053919878,"Blood lead (ug/dL)"
"Grenada",2019,"Male","0 to 14",3.04311099937656,2.58883263385408,3.60723222798286,"Blood lead (ug/dL)"
"Grenada",2019,"Female","0 to 14",3.13536515460904,2.63167374465644,3.73980078209473,"Blood lead (ug/dL)"
"Guyana",2019,"Male","0 to 14",4.31890004970291,3.53950121010113,5.17033198176896,"Blood lead (ug/dL)"
"Guyana",2019,"Female","0 to 14",3.931207607186,3.26043675769999,4.68193959255265,"Blood lead (ug/dL)"
"Haiti",2019,"Male","0 to 14",8.90192656196989,7.38993065034468,10.6089628088868,"Blood lead (ug/dL)"
"Haiti",2019,"Female","0 to 14",7.63049822948418,6.45038417842703,9.0509460363152,"Blood lead (ug/dL)"
"Jamaica",2019,"Male","0 to 14",3.57183201053002,2.9714710809636,4.25333120799826,"Blood lead (ug/dL)"
"Jamaica",2019,"Female","0 to 14",3.30673272541537,2.77304967792941,3.89854549648495,"Blood lead (ug/dL)"
"Saint Lucia",2019,"Male","0 to 14",2.57724750160575,2.14379694692499,3.05551263031715,"Blood lead (ug/dL)"
"Saint Lucia",2019,"Female","0 to 14",2.67406341087751,2.24898233895647,3.22587191107996,"Blood lead (ug/dL)"
