location_name,year_id,sex,age_group,mean,lower,upper,measure
Panama,2019,Female,0 to 14,38109,12598,96602,Number of people with BLLs >5 ug/dL
Venezuela (Bolivarian Republic of),2019,Male,0 to 14,1553400,609205,2659651,Number of people with BLLs >5 ug/dL
Venezuela (Bolivarian Republic of),2019,Female,0 to 14,899773,278606,1920536,Number of people with BLLs >5 ug/dL
Brazil,2019,Male,0 to 14,2233254,1724529,2876404,Number of people with BLLs >5 ug/dL
Brazil,2019,Female,0 to 14,1755621,1323179,2266488,Number of people with BLLs >5 ug/dL
Paraguay,2019,Male,0 to 14,72845,24053,183755,Number of people with BLLs >5 ug/dL
Paraguay,2019,Female,0 to 14,312672,97455,639803,Number of people with BLLs >5 ug/dL
Algeria,2019,Male,0 to 14,1591493,705991,3040284,Number of people with BLLs >5 ug/dL
Algeria,2019,Female,0 to 14,940391,411438,1879169,Number of people with BLLs >5 ug/dL
Bahrain,2019,Male,0 to 14,12547,5473,25548,Number of people with BLLs >5 ug/dL
Bahrain,2019,Female,0 to 14,7440,3213,14762,Number of people with BLLs >5 ug/dL
Egypt,2019,Male,0 to 14,11615718,8334769,14053650,Number of people with BLLs >5 ug/dL
Egypt,2019,Female,0 to 14,9287021,6022489,12163368,Number of people with BLLs >5 ug/dL
Iran (Islamic Republic of),2019,Male,0 to 14,5443067,2814808,7961991,Number of people with BLLs >5 ug/dL
Iran (Islamic Republic of),2019,Female,0 to 14,3437388,1587589,5899572,Number of people with BLLs >5 ug/dL
Iraq,2019,Male,0 to 14,2838955,1567039,4410706,Number of people with BLLs >5 ug/dL
Iraq,2019,Female,0 to 14,1555788,782855,2653707,Number of people with BLLs >5 ug/dL
Jordan,2019,Male,0 to 14,224708,98744,453669,Number of people with BLLs >5 ug/dL
Jordan,2019,Female,0 to 14,193600,83398,387012,Number of people with BLLs >5 ug/dL
Kuwait,2019,Male,0 to 14,18472,8802,37325,Number of people with BLLs >5 ug/dL
Kuwait,2019,Female,0 to 14,11419,6131,22143,Number of people with BLLs >5 ug/dL
Lebanon,2019,Male,0 to 14,16115,9337,28230,Number of people with BLLs >5 ug/dL
Lebanon,2019,Female,0 to 14,7647,4780,12771,Number of people with BLLs >5 ug/dL
Libya,2019,Male,0 to 14,50394,21756,100015,Number of people with BLLs >5 ug/dL
